mes,producto,categoria,region,canal,unidades,precio_unitario,ingresos
2025-10,Freidora de aire 5L,Pequeño electrodoméstico,Sur,Online,32.0,120.19,3846.12
2025-10,Freidora de aire 5L,Pequeño electrodoméstico,Centro,Tienda,38.0,117.56,4467.2
2025-10,Freidora de aire 5L,Pequeño electrodoméstico,Norte,Tienda,37.0,117.21,4336.62
2025-10,Freidora de aire 5L,Pequeño electrodoméstico,Levante,Tienda,33.0,117.48,3876.84
2025-10,Freidora de aire 5L,Pequeño electrodoméstico,Norte,Online,32.0,120.41,3853.04
2025-10,Freidora de aire 5L,Pequeño electrodoméstico,Sur,Tienda,25.0,118.29,2957.25
2025-10,Freidora de aire 5L,Pequeño electrodoméstico,Levante,Online,40.0,120.8,4832.14
2025-10,"Monitor 27"" QHD",Informática,Centro,Online,17.0,224.24,3812.14
2025-10,"Monitor 27"" QHD",Informática,Norte,Tienda,9.0,233.51,2101.55
2025-10,"Monitor 27"" QHD",Informática,Levante,Tienda,8.0,231.21,1849.65
2025-10,"Monitor 27"" QHD",Informática,Levante,Online,15.0,214.64,3219.62
2025-10,"Monitor 27"" QHD",Informática,Sur,Tienda,6.0,221.46,1328.74
2025-10,"Monitor 27"" QHD",Informática,Norte,Online,11.0,219.49,2414.39
2025-10,"Monitor 27"" QHD",Informática,Centro,Tienda,14.0,217.96,3051.51
2025-10,"Monitor 27"" QHD",Informática,Sur,Online,12.0,214.11,2569.32
2025-10,Robot aspirador R2,Pequeño electrodoméstico,Centro,Tienda,26.0,242.44,6303.39
2025-10,Robot aspirador R2,Pequeño electrodoméstico,Sur,Tienda,14.0,240.96,3373.42
2025-10,Robot aspirador R2,Pequeño electrodoméstico,Sur,Online,25.0,244.26,6106.54
2025-10,Robot aspirador R2,Pequeño electrodoméstico,Norte,Online,26.0,236.77,6155.97
2025-10,Robot aspirador R2,Pequeño electrodoméstico,Levante,Online,36.0,245.41,8834.77
2025-10,Robot aspirador R2,Pequeño electrodoméstico,Norte,Tienda,26.0,234.95,6108.76
2025-10,Robot aspirador R2,Pequeño electrodoméstico,Centro,Online,44.0,,
2025-10,Robot aspirador R2,Pequeño electrodoméstico,Levante,Tienda,30.0,247.04,7411.32
2025-10,Teclado mecánico K8,Informática,Levante,Tienda,20.0,96.3,1926.08
2025-10,Teclado mecánico K8,Informática,Centro,Tienda,25.0,94.53,2363.15
2025-10,Teclado mecánico K8,Informática,Norte,Tienda,24.0,97.57,2341.61
2025-10,Teclado mecánico K8,Informática,Sur,Online,31.0,92.29,2860.87
2025-10,Teclado mecánico K8,Informática,Levante,Online,41.0,100.57,4123.34
2025-10,Teclado mecánico K8,Informática,Centro,Online,30.0,98.8,2964.09
2025-10,Teclado mecánico K8,Informática,Sur,Tienda,21.0,97.72,2052.09
2025-10,Teclado mecánico K8,Informática,Norte,Online,25.0,98.46,2461.38
2025-10,Webcam Full HD,Informática,Norte,Tienda,12.0,43.23,518.72
2025-10,Webcam Full HD,Informática,Centro,Online,38.0,45.15,1715.69
2025-10,Webcam Full HD,Informática,Norte,Online,17.0,45.9,780.29
2025-10,Webcam Full HD,Informática,Levante,Tienda,14.0,41.98,587.68
2025-10,Webcam Full HD,Informática,Sur,Tienda,16.0,43.51,696.1
2025-10,Webcam Full HD,Informática,Centro,Tienda,17.0,44.82,761.86
2025-10,Webcam Full HD,Informática,Levante,Online,26.0,43.81,1139.01
2025-10,Webcam Full HD,Informática,Sur,Online,19.0,44.37,842.94
2025-11,Altavoz portátil Mini,Audio,Centro,Tienda,37.0,,
2025-11,Altavoz portátil Mini,Audio,Norte,Tienda,21.0,37.71,791.87
2025-11,Altavoz portátil Mini,Audio,Norte,Online,27.0,37.85,1022.04
2025-11,Altavoz portátil Mini,Audio,Sur,Tienda,25.0,38.72,968.07
2025-11,Altavoz portátil Mini,Audio,Centro,Online,38.0,40.36,1533.73
2025-11,Altavoz portátil Mini,Audio,Levante,Tienda,21.0,38.33,805.03
2025-11,Altavoz portátil Mini,Audio,Sur,Online,23.0,37.8,869.35
2025-11,Altavoz portátil Mini,Audio,Levante,Online,30.0,37.97,1138.97
2025-11,Auriculares BT Zen,Audio,Norte,Online,31.0,60.03,1860.79
2025-11,Auriculares BT Zen,Audio,Centro,Tienda,31.0,58.55,1814.99
2025-11,Auriculares BT Zen,Audio,Norte,Tienda,23.0,56.89,1308.53
2025-11,Auriculares BT Zen,Audio,Levante,Online,28.0,59.56,1667.55
2025-11,Auriculares BT Zen,Audio,Centro,Online,33.0,55.85,1843.19
2025-11,Auriculares BT Zen,Audio,Sur,Online,26.0,56.62,1472.03
2025-11,Auriculares BT Zen,Audio,Sur,Tienda,17.0,54.89,933.12
2025-11,Auriculares BT Zen,Audio,Levante,Tienda,31.0,56.59,1754.23
2025-11,Barra de sonido S30,Audio,Centro,Tienda,,168.07,4874.12
2025-11,Barra de sonido S30,Audio,Centro,Online,30.0,174.36,5230.73
2025-11,Barra de sonido S30,Audio,Sur,Online,22.0,178.83,3934.24
2025-11,Barra de sonido S30,Audio,Norte,Tienda,18.0,168.62,3035.16
2025-11,Barra de sonido S30,Audio,Norte,Online,25.0,174.3,4357.41
2025-11,Barra de sonido S30,Audio,Sur,Tienda,17.0,171.07,2908.19
2025-11,Barra de sonido S30,Audio,Levante,Online,26.0,,
2025-11,Barra de sonido S30,Audio,Levante,Tienda,25.0,175.32,4382.89
2025-11,Batidora de vaso Pro,Pequeño electrodoméstico,Norte,Online,34.0,65.73,2234.86
2025-11,Batidora de vaso Pro,Pequeño electrodoméstico,Sur,Tienda,19.0,61.12,1161.3
2025-11,Batidora de vaso Pro,Pequeño electrodoméstico,Centro,Online,46.0,,
2025-11,Batidora de vaso Pro,Pequeño electrodoméstico,Sur,Online,27.0,64.18,1732.78
2025-11,Batidora de vaso Pro,Pequeño electrodoméstico,Norte,Tienda,29.0,62.3,1806.61
2025-11,Batidora de vaso Pro,Pequeño electrodoméstico,Levante,Online,38.0,60.09,2283.42
2025-11,Batidora de vaso Pro,Pequeño electrodoméstico,Centro,Tienda,38.0,60.92,2315.05
2025-11,Batidora de vaso Pro,Pequeño electrodoméstico,Levante,Tienda,21.0,63.2,1327.23
2025-11,Cafetera Aroma X,Pequeño electrodoméstico,Norte,Online,29.0,84.01,2436.24
2025-11,Cafetera Aroma X,Pequeño electrodoméstico,Sur,Tienda,17.0,88.23,1499.85
2025-11,Cafetera Aroma X,Pequeño electrodoméstico,Centro,Tienda,23.0,88.11,2026.55
2025-11,Cafetera Aroma X,Pequeño electrodoméstico,Levante,Online,27.0,84.4,2278.67
2025-11,Cafetera Aroma X,Pequeño electrodoméstico,Centro,Online,31.0,87.0,2696.95
2025-11,Cafetera Aroma X,Pequeño electrodoméstico,Sur,Online,25.0,89.13,2228.13
2025-11,Cafetera Aroma X,Pequeño electrodoméstico,Levante,Tienda,18.0,88.23,1588.12
2025-11,Cafetera Aroma X,Pequeño electrodoméstico,Norte,Tienda,20.0,84.11,1682.15
2025-11,Freidora de aire 5L,Pequeño electrodoméstico,Centro,Online,45.0,117.0,5264.89
2025-11,Freidora de aire 5L,Pequeño electrodoméstico,Sur,Tienda,26.0,117.69,3060.05
2025-11,Freidora de aire 5L,Pequeño electrodoméstico,Centro,Tienda,34.0,121.31,4124.41
2025-11,Freidora de aire 5L,Pequeño electrodoméstico,Levante,Online,41.0,116.54,4778.23
2025-11,Freidora de aire 5L,Pequeño electrodoméstico,Norte,Tienda,33.0,115.63,3815.8
2025-11,Freidora de aire 5L,Pequeño electrodoméstico,Sur,Online,40.0,117.05,4682.07
2025-11,Freidora de aire 5L,Pequeño electrodoméstico,Norte,Online,48.0,,
2025-11,Freidora de aire 5L,Pequeño electrodoméstico,Levante,Tienda,34.0,120.71,4104.15
2025-11,"Monitor 27"" QHD",Informática,Sur,Online,13.0,214.36,2786.68
2025-11,"Monitor 27"" QHD",Informática,Norte,Online,11.0,223.13,2454.43
2025-11,"Monitor 27"" QHD",Informática,Levante,Online,16.0,216.97,3471.47
2025-11,"Monitor 27"" QHD",Informática,Centro,Tienda,13.0,227.77,2961.07
2025-11,"Monitor 27"" QHD",Informática,Norte,Tienda,7.0,221.72,1552.01
2025-11,"Monitor 27"" QHD",Informática,Levante,Tienda,10.0,217.1,2171.01
2025-11,"Monitor 27"" QHD",Informática,Sur,Tienda,6.0,218.99,1313.94
2025-11,"Monitor 27"" QHD",Informática,Centro,Online,16.0,221.14,3538.22
2025-11,Robot aspirador R2,Pequeño electrodoméstico,Norte,Tienda,23.0,232.78,5353.94
2025-11,Robot aspirador R2,Pequeño electrodoméstico,Levante,Tienda,21.0,235.21,4939.35
2025-11,Robot aspirador R2,Pequeño electrodoméstico,Sur,Tienda,15.0,245.78,3686.77
2025-11,Robot aspirador R2,Pequeño electrodoméstico,Centro,Tienda,35.0,249.45,8730.76
2025-11,Robot aspirador R2,Pequeño electrodoméstico,Centro,Online,40.0,240.51,9620.44
2025-11,Robot aspirador R2,Pequeño electrodoméstico,Sur,Online,21.0,233.08,4894.66
2025-11,Robot aspirador R2,Pequeño electrodoméstico,Norte,Online,37.0,249.05,9214.82
2025-11,Robot aspirador R2,Pequeño electrodoméstico,Levante,Online,33.0,232.75,7680.69
2025-11,Teclado mecánico K8,Informática,Norte,Online,27.0,96.47,2604.61
2025-11,Teclado mecánico K8,Informática,Levante,Tienda,21.0,95.29,2001.18
2025-11,Teclado mecánico K8,Informática,Norte,Tienda,18.0,94.31,1697.52
2025-11,Teclado mecánico K8,Informática,Centro,Online,45.0,98.65,4439.25
2025-11,Teclado mecánico K8,Informática,Sur,Online,26.0,94.99,2469.76
2025-11,Teclado mecánico K8,Informática,Centro,Tienda,33.0,93.7,3092.1
2025-11,Teclado mecánico K8,Informática,Sur,Tienda,20.0,98.96,1979.11
2025-11,Teclado mecánico K8,Informática,Levante,Online,38.0,92.77,3525.41
2025-11,Webcam Full HD,Informática,Centro,Tienda,22.0,44.49,978.89
2025-11,Webcam Full HD,Informática,Sur,Online,19.0,42.06,799.1
2025-11,Webcam Full HD,Informática,Sur,Tienda,17.0,44.55,757.43
2025-11,Webcam Full HD,Informática,Norte,Tienda,15.0,45.07,676.1
2025-11,Webcam Full HD,Informática,Levante,Online,25.0,41.92,1048.09
2025-11,Webcam Full HD,Informática,Centro,Online,30.0,42.95,1288.45
2025-11,Webcam Full HD,Informática,Norte,Online,24.0,,
2025-11,Webcam Full HD,Informática,Levante,Tienda,20.0,45.43,908.58
2025-12,Altavoz portátil Mini,Audio,Centro,Tienda,43.0,,
2025-12,Altavoz portátil Mini,Audio,Norte,Online,56.0,39.8,2228.75
2025-12,Altavoz portátil Mini,Audio,Levante,Online,58.0,40.21,2331.92
2025-12,Altavoz portátil Mini,Audio,Norte,Tienda,28.0,39.15,1096.27
2025-12,Altavoz portátil Mini,Audio,Sur,Online,37.0,40.58,1501.53
2025-12,Altavoz portátil Mini,Audio,Levante,Tienda,31.0,38.91,1206.36
2025-12,Altavoz portátil Mini,Audio,Centro,Online,66.0,38.46,2538.38
2025-12,Altavoz portátil Mini,Audio,Sur,Tienda,26.0,37.33,970.58
2025-12,Auriculares BT Zen,Audio,Sur,Tienda,22.0,59.21,1302.59
2025-12,Auriculares BT Zen,Audio,Norte,Online,42.0,55.32,2323.25
2025-12,Auriculares BT Zen,Audio,Sur,Online,33.0,57.99,1913.54
2025-12,Auriculares BT Zen,Audio,Centro,Online,55.0,58.99,3244.55
2025-12,Auriculares BT Zen,Audio,Levante,Online,56.0,55.32,3097.84
2025-12,Auriculares BT Zen,Audio,Levante,Tienda,35.0,56.46,1976.14
2025-12,Auriculares BT Zen,Audio,Centro,Tienda,39.0,58.35,2275.78
2025-12,Auriculares BT Zen,Audio,Norte,Tienda,27.0,55.84,1507.72
2025-12,Barra de sonido S30,Audio,Levante,Tienda,26.0,172.26,4478.82
2025-12,Barra de sonido S30,Audio,Levante,Online,44.0,176.65,7772.43
2025-12,Barra de sonido S30,Audio,Sur,Online,25.0,178.51,4462.8
2025-12,Barra de sonido S30,Audio,Centro,Online,47.0,181.24,8518.08
2025-12,Barra de sonido S30,Audio,Norte,Online,28.0,174.63,4889.69
2025-12,Barra de sonido S30,Audio,Sur,Tienda,27.0,167.67,4527.14
2025-12,Barra de sonido S30,Audio,Centro,Tienda,43.0,182.48,7846.76
2025-12,Barra de sonido S30,Audio,Norte,Tienda,25.0,171.14,4278.38
2025-12,Batidora de vaso Pro,Pequeño electrodoméstico,Centro,Tienda,59.0,64.56,3809.13
2025-12,Batidora de vaso Pro,Pequeño electrodoméstico,Norte,Online,50.0,60.36,3017.91
2025-12,Batidora de vaso Pro,Pequeño electrodoméstico,Centro,Online,84.0,60.59,5089.83
2025-12,Batidora de vaso Pro,Pequeño electrodoméstico,Levante,Tienda,32.0,62.44,1997.96
2025-12,Batidora de vaso Pro,Pequeño electrodoméstico,Levante,Online,69.0,64.74,4467.0
2025-12,Batidora de vaso Pro,Pequeño electrodoméstico,Norte,Tienda,31.0,63.61,1971.81
2025-12,Batidora de vaso Pro,Pequeño electrodoméstico,Sur,Online,50.0,61.55,3077.75
2025-12,Batidora de vaso Pro,Pequeño electrodoméstico,Sur,Tienda,27.0,,
2025-12,Cafetera Aroma X,Pequeño electrodoméstico,Sur,Online,30.0,89.92,2697.5
2025-12,Cafetera Aroma X,Pequeño electrodoméstico,Centro,Tienda,39.0,89.9,3505.93
2025-12,Cafetera Aroma X,Pequeño electrodoméstico,Norte,Online,43.0,87.62,3767.81
2025-12,Cafetera Aroma X,Pequeño electrodoméstico,Levante,Online,47.0,86.39,4060.14
2025-12,Cafetera Aroma X,Pequeño electrodoméstico,Sur,Tienda,23.0,85.62,1969.19
2025-12,Cafetera Aroma X,Pequeño electrodoméstico,Centro,Online,55.0,91.08,5009.32
2025-12,Cafetera Aroma X,Pequeño electrodoméstico,Levante,Tienda,26.0,86.04,2236.94
2025-12,Cafetera Aroma X,Pequeño electrodoméstico,Norte,Tienda,31.0,88.17,2733.37
2025-12,Freidora de aire 5L,Pequeño electrodoméstico,Sur,Online,47.0,116.04,5453.76
2025-12,Freidora de aire 5L,Pequeño electrodoméstico,Sur,Tienda,45.0,110.97,4993.64
2025-12,Freidora de aire 5L,Pequeño electrodoméstico,Centro,Online,107.0,112.76,12064.93
2025-12,Freidora de aire 5L,Pequeño electrodoméstico,Levante,Online,74.0,119.6,8850.71
2025-12,Freidora de aire 5L,Pequeño electrodoméstico,Centro,Tienda,67.0,112.16,7514.81
2025-12,Freidora de aire 5L,Pequeño electrodoméstico,Norte,Online,69.0,111.77,7712.18
2025-12,Freidora de aire 5L,Pequeño electrodoméstico,Norte,Tienda,33.0,119.23,3934.63
2025-12,Freidora de aire 5L,Pequeño electrodoméstico,Levante,Tienda,57.0,114.16,6507.2
2025-12,"Monitor 27"" QHD",Informática,Sur,Online,,231.97,3711.53
2025-12,"Monitor 27"" QHD",Informática,Norte,Tienda,12.0,218.43,2621.19
2025-12,"Monitor 27"" QHD",Informática,Levante,Online,21.0,221.53,4652.15
2025-12,"Monitor 27"" QHD",Informática,Norte,Online,21.0,215.22,4519.55
2025-12,"Monitor 27"" QHD",Informática,Centro,Tienda,18.0,225.54,4059.79
2025-12,"Monitor 27"" QHD",Informática,Levante,Tienda,11.0,213.46,2348.03
2025-12,"Monitor 27"" QHD",Informática,Sur,Tienda,13.0,214.13,2783.73
2025-12,"Monitor 27"" QHD",Informática,Centro,Online,29.0,222.97,6466.04
2025-12,Robot aspirador R2,Pequeño electrodoméstico,Levante,Online,51.0,242.41,12363.05
2025-12,Robot aspirador R2,Pequeño electrodoméstico,Centro,Tienda,33.0,251.16,8288.41
2025-12,Robot aspirador R2,Pequeño electrodoméstico,Centro,Online,65.0,,
2025-12,Robot aspirador R2,Pequeño electrodoméstico,Sur,Tienda,24.0,239.35,5744.52
2025-12,Robot aspirador R2,Pequeño electrodoméstico,Sur,Online,37.0,234.32,8669.95
2025-12,Robot aspirador R2,Pequeño electrodoméstico,Levante,Tienda,42.0,253.83,10660.67
2025-12,Robot aspirador R2,Pequeño electrodoméstico,Norte,Tienda,23.0,234.96,5404.08
2025-12,Robot aspirador R2,Pequeño electrodoméstico,Norte,Online,36.0,239.72,8629.87
2025-12,Teclado mecánico K8,Informática,Centro,Tienda,30.0,96.99,2909.81
2025-12,Teclado mecánico K8,Informática,Centro,Online,52.0,100.8,5241.81
2025-12,Teclado mecánico K8,Informática,Norte,Online,36.0,92.65,3335.28
2025-12,Teclado mecánico K8,Informática,Levante,Online,53.0,96.05,5090.78
2025-12,Teclado mecánico K8,Informática,Levante,Tienda,26.0,96.51,2509.3
2025-12,Teclado mecánico K8,Informática,Sur,Online,32.0,92.82,2970.21
2025-12,Teclado mecánico K8,Informática,Sur,Tienda,30.0,100.87,3026.15
2025-12,Teclado mecánico K8,Informática,Norte,Tienda,24.0,98.78,2370.68
2025-12,Webcam Full HD,Informática,Centro,Online,44.0,42.48,1869.3
2025-12,Webcam Full HD,Informática,Levante,Online,29.0,42.43,1230.39
2025-12,Webcam Full HD,Informática,Norte,Tienda,26.0,45.1,1172.57
2025-12,Webcam Full HD,Informática,Norte,Online,35.0,43.43,1520.14
2025-12,Webcam Full HD,Informática,Sur,Online,30.0,43.33,1299.81
2025-12,Webcam Full HD,Informática,Sur,Tienda,16.0,42.22,675.46
2025-12,Webcam Full HD,Informática,Centro,Tienda,30.0,45.67,1369.95
2025-12,Webcam Full HD,Informática,Levante,Tienda,30.0,42.38,1271.29
2026-01,Altavoz portátil Mini,Audio,Levante,Tienda,18.0,39.22,705.88
2026-01,Altavoz portátil Mini,Audio,Norte,Tienda,14.0,38.08,533.12
2026-01,Altavoz portátil Mini,Audio,Sur,Tienda,11.0,37.22,409.45
2026-01,Altavoz portátil Mini,Audio,Levante,Online,20.0,38.51,770.26
2026-01,Altavoz portátil Mini,Audio,Norte,Online,20.0,38.54,770.85
2026-01,Altavoz portátil Mini,Audio,Sur,Online,22.0,40.32,887.12
2026-01,Altavoz portátil Mini,Audio,Centro,Online,37.0,40.24,1488.94
2026-01,Altavoz portátil Mini,Audio,Centro,Tienda,21.0,40.53,851.18
2026-01,Auriculares BT Zen,Audio,Levante,Online,23.0,57.15,1314.43
2026-01,Auriculares BT Zen,Audio,Centro,Online,,58.7,1760.9
2026-01,Auriculares BT Zen,Audio,Levante,Tienda,18.0,58.67,1056.0
2026-01,Auriculares BT Zen,Audio,Centro,Tienda,21.0,58.04,1218.79
2026-01,Auriculares BT Zen,Audio,Sur,Online,18.0,55.64,1001.5
2026-01,Auriculares BT Zen,Audio,Sur,Tienda,12.0,56.38,676.55
2026-01,Auriculares BT Zen,Audio,Norte,Tienda,16.0,59.4,950.41
2026-01,Auriculares BT Zen,Audio,Norte,Online,16.0,59.61,953.77
2026-01,Barra de sonido S30,Audio,Sur,Online,27.0,173.17,4675.72
2026-01,Barra de sonido S30,Audio,Sur,Tienda,18.0,173.0,3114.02
2026-01,Barra de sonido S30,Audio,Levante,Tienda,21.0,168.42,3536.77
2026-01,Barra de sonido S30,Audio,Levante,Online,29.0,171.7,4979.26
2026-01,Barra de sonido S30,Audio,Centro,Tienda,31.0,172.82,5357.38
2026-01,Barra de sonido S30,Audio,Norte,Tienda,17.0,168.29,2860.85
2026-01,Barra de sonido S30,Audio,Norte,Online,25.0,174.49,4362.27
2026-01,Barra de sonido S30,Audio,Centro,Online,31.0,181.77,5634.99
2026-01,Batidora de vaso Pro,Pequeño electrodoméstico,Levante,Tienda,31.0,60.47,1874.6
2026-01,Batidora de vaso Pro,Pequeño electrodoméstico,Centro,Tienda,35.0,60.5,2117.65
2026-01,Batidora de vaso Pro,Pequeño electrodoméstico,Norte,Tienda,20.0,60.85,1217.04
2026-01,Batidora de vaso Pro,Pequeño electrodoméstico,Centro,Online,36.0,63.98,2303.28
2026-01,Batidora de vaso Pro,Pequeño electrodoméstico,Norte,Online,40.0,63.3,2531.89
2026-01,Batidora de vaso Pro,Pequeño electrodoméstico,Levante,Online,46.0,60.37,2777.1
2026-01,Batidora de vaso Pro,Pequeño electrodoméstico,Sur,Tienda,20.0,60.41,1208.11
2026-01,Batidora de vaso Pro,Pequeño electrodoméstico,Sur,Online,36.0,63.67,2292.05
2026-01,Cafetera Aroma X,Pequeño electrodoméstico,Sur,Tienda,21.0,84.24,1768.94
2026-01,Cafetera Aroma X,Pequeño electrodoméstico,Centro,Tienda,22.0,86.37,1900.24
2026-01,Cafetera Aroma X,Pequeño electrodoméstico,Norte,Tienda,19.0,88.53,1682.15
2026-01,Cafetera Aroma X,Pequeño electrodoméstico,Norte,Online,22.0,87.75,1930.48
2026-01,Cafetera Aroma X,Pequeño electrodoméstico,Sur,Online,25.0,89.99,2249.79
2026-01,Cafetera Aroma X,Pequeño electrodoméstico,Levante,Online,30.0,87.63,2628.77
2026-01,Cafetera Aroma X,Pequeño electrodoméstico,Levante,Tienda,26.0,86.36,2245.33
2026-01,Cafetera Aroma X,Pequeño electrodoméstico,Centro,Online,47.0,,
2026-01,Freidora de aire 5L,Pequeño electrodoméstico,Centro,Tienda,64.0,116.2,7437.09
2026-01,Freidora de aire 5L,Pequeño electrodoméstico,Levante,Online,77.0,112.27,8645.13
2026-01,Freidora de aire 5L,Pequeño electrodoméstico,Centro,Online,93.0,120.08,11166.99
2026-01,Freidora de aire 5L,Pequeño electrodoméstico,Sur,Tienda,29.0,112.3,3256.59
2026-01,Freidora de aire 5L,Pequeño electrodoméstico,Norte,Online,69.0,117.77,8125.79
2026-01,Freidora de aire 5L,Pequeño electrodoméstico,Norte,Tienda,31.0,118.59,3676.43
2026-01,Freidora de aire 5L,Pequeño electrodoméstico,Levante,Tienda,53.0,117.19,6210.94
2026-01,Freidora de aire 5L,Pequeño electrodoméstico,Sur,Online,52.0,120.02,6240.92
2026-01,"Monitor 27"" QHD",Informática,Norte,Tienda,11.0,216.76,2384.41
2026-01,"Monitor 27"" QHD",Informática,Levante,Tienda,11.0,227.92,2507.12
2026-01,"Monitor 27"" QHD",Informática,Levante,Online,20.0,233.27,4665.41
2026-01,"Monitor 27"" QHD",Informática,Sur,Online,13.0,222.61,2893.9
2026-01,"Monitor 27"" QHD",Informática,Centro,Online,16.0,216.38,3462.14
2026-01,"Monitor 27"" QHD",Informática,Sur,Tienda,8.0,226.42,1811.34
2026-01,"Monitor 27"" QHD",Informática,Norte,Online,14.0,227.65,3187.03
2026-01,"Monitor 27"" QHD",Informática,Centro,Tienda,13.0,215.3,2798.94
2026-01,Robot aspirador R2,Pequeño electrodoméstico,Centro,Online,18.0,252.88,4551.87
2026-01,Robot aspirador R2,Pequeño electrodoméstico,Levante,Online,23.0,247.17,5684.95
2026-01,Robot aspirador R2,Pequeño electrodoméstico,Sur,Tienda,11.0,234.86,2583.41
2026-01,Robot aspirador R2,Pequeño electrodoméstico,Centro,Tienda,19.0,235.19,4468.57
2026-01,Robot aspirador R2,Pequeño electrodoméstico,Sur,Online,15.0,232.18,3482.64
2026-01,Robot aspirador R2,Pequeño electrodoméstico,Norte,Tienda,9.0,233.86,2104.74
2026-01,Robot aspirador R2,Pequeño electrodoméstico,Levante,Tienda,14.0,253.5,3548.97
2026-01,Robot aspirador R2,Pequeño electrodoméstico,Norte,Online,16.0,237.5,3800.05
2026-01,Teclado mecánico K8,Informática,Sur,Online,27.0,95.39,2575.62
2026-01,Teclado mecánico K8,Informática,Norte,Online,31.0,,
2026-01,Teclado mecánico K8,Informática,Levante,Tienda,27.0,93.84,2533.81
2026-01,Teclado mecánico K8,Informática,Sur,Tienda,21.0,94.69,1988.44
2026-01,Teclado mecánico K8,Informática,Centro,Tienda,32.0,99.62,3187.73
2026-01,Teclado mecánico K8,Informática,Norte,Tienda,18.0,95.78,1724.11
2026-01,Teclado mecánico K8,Informática,Levante,Online,30.0,94.26,2827.68
2026-01,Teclado mecánico K8,Informática,Centro,Online,44.0,93.15,4098.58
2026-01,Webcam Full HD,Informática,Norte,Tienda,15.0,43.46,651.85
2026-01,Webcam Full HD,Informática,Norte,Online,19.0,45.61,866.5
2026-01,Webcam Full HD,Informática,Sur,Online,16.0,44.9,718.43
